category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF00004	3	6	4	2	2	2	0
PF00005	6	13	0	3	0	2	0
PF00006	1	2	0	2	0	2	0
PF00009	2	4	3	2	2	2	1
PF00010	2	4	1	2	1	2	0
PF00011	6	12	0	2	0	2	0
PF00012	1	2	2	2	2	2	2
PF00026	1	2	0	2	0	2	0
PF00027	1	2	0	2	0	2	0
PF00043	8	20	3	4	2	2	0
PF00046	4	8	5	2	3	2	0
PF00067	32	82	28	6	6	2	0
PF00069	62	147	96	6	8	2	0
PF00076	8	17	6	3	2	2	0
PF00078	17	36	15	3	4	2	0
PF00081	1	2	1	2	1	2	1
PF00082	1	2	0	2	0	2	0
PF00091	3	8	0	3	0	2	0
PF00097	1	2	0	2	0	2	0
PF00098	20	48	18	5	3	2	0
PF00106	2	4	1	2	1	2	0
PF00107	6	18	1	7	1	2	0
PF00119	1	2	3	2	3	2	3
PF00120	2	4	0	2	0	2	0
PF00122	1	2	0	2	0	2	0
PF00125	1	2	0	2	0	2	0
PF00134	1	2	2	2	2	2	2
PF00139	4	16	11	6	5	3	0
PF00141	17	43	13	6	3	2	0
PF00149	1	2	0	2	0	2	0
PF00153	6	12	9	2	3	2	0
PF00160	1	2	0	2	0	2	0
PF00164	1	2	0	2	0	2	0
PF00168	1	2	5	2	5	2	5
PF00170	1	2	3	2	3	2	3
PF00171	1	2	0	2	0	2	0
PF00179	4	8	5	2	5	2	0
PF00182	1	2	1	2	1	2	1
PF00187	2	6	4	4	3	2	1
PF00190	6	15	8	5	5	2	0
PF00195	3	6	3	2	2	2	0
PF00201	5	13	3	4	2	2	0
PF00221	1	2	2	2	2	2	2
PF00225	1	2	2	2	2	2	2
PF00226	3	7	1	3	1	2	0
PF00227	2	4	1	2	1	2	0
PF00230	1	2	0	2	0	2	0
PF00240	2	4	1	2	1	2	0
PF00244	1	2	0	2	0	2	0
PF00248	4	20	18	13	15	2	0
PF00249	5	10	2	2	1	2	0
PF00251	3	8	2	3	2	2	0
PF00264	1	2	2	2	2	2	2
PF00270	3	6	0	2	0	2	0
PF00271	3	6	0	2	0	2	0
PF00274	1	2	3	2	3	2	3
PF00291	2	4	1	2	1	2	0
PF00305	2	4	2	2	1	2	1
PF00313	1	2	2	2	2	2	2
PF00314	4	8	3	2	2	2	0
PF00332	1	3	0	3	0	3	0
PF00350	3	6	3	2	2	2	0
PF00355	1	3	6	3	6	3	6
