cluster_id	category	chr	start	end	n_features	n_bystanders
C1	PF00004	super_126	13	49080	2	2
C2	PF00004	super_23	322494	355885	2	0
C3	PF00004	super_54	1608772	1668631	2	2
C4	PF00005	super_14	1628658	1715586	2	11
C5	PF00005	super_14	3322300	3336282	2	0
C6	PF00005	super_28	1567022	1597191	2	0
C7	PF00005	super_34	2173621	2287699	2	4
C8	PF00005	super_4	800191	826668	2	0
C9	PF00005	super_4	1162473	1189637	2	0
C10	PF00005	super_40	401531	427795	2	0
C11	PF00005	super_41	583749	638504	3	0
C12	PF00006	super_92	739102	749498	2	0
C13	PF00009	super_17	1650248	1701158	2	2
C14	PF00009	super_5	233412	276419	2	1
C15	PF00010	super_71	244070	317915	2	1
C16	PF00010	super_59	1254585	1308168	2	0
C17	PF00010	super_328	78735	108182	2	1
C18	PF00011	super_107	1063082	1076325	2	0
C19	PF00011	super_25	1898524	1902605	2	0
C20	PF00011	super_62	1225456	1228878	2	0
C21	PF00011	super_62	1451492	1454152	2	0
C22	PF00011	super_66	910913	914402	2	0
C23	PF00011	super_9	1300652	1304229	2	0
C24	PF00012	super_108	64947	183452	3	6
C25	PF00012	super_73	527199	628762	2	9
C26	PF00025	super_20	2006717	2109688	2	9
C27	PF00026	super_179	301622	327482	2	0
C28	PF00027	super_78	452649	457431	2	0
C29	PF00043	super_76	803869	810145	2	0
C30	PF00043	super_56	1300820	1317794	2	0
C31	PF00043	super_513	12799	30359	3	0
C32	PF00043	super_163	89719	105158	3	1
C33	PF00043	super_5	3219610	3336723	6	1
C34	PF00043	super_18	3055161	3084545	2	2
C35	PF00043	super_51	264816	283373	2	0
C36	PF00046	super_0	10187526	10285464	2	1
C37	PF00046	super_103	87734	139685	2	3
C38	PF00046	super_219	159810	196011	2	0
C39	PF00046	super_71	1457656	1498320	2	1
C40	PF00046	super_8	4427856	4463122	2	1
C41	PF00067	super_310	41208	59329	2	0
C42	PF00067	super_32	709540	831942	3	7
C43	PF00067	super_35	2222274	2262132	2	0
C44	PF00067	super_35	2390296	2417590	2	1
C45	PF00067	super_362	1715	13921	2	0
C46	PF00067	super_42	996779	1038860	3	0
C47	PF00067	super_44	819734	918586	2	6
C48	PF00067	super_56	446303	459831	2	0
C49	PF00067	super_5	2880903	2953561	3	5
C50	PF00067	super_52	91045	132501	3	1
C51	PF00067	super_6	3270614	3307593	2	4
C52	PF00067	super_61	143961	176742	2	2
C53	PF00067	super_66	569490	637106	3	1
C54	PF00067	super_92	529942	560149	3	1
C55	PF00067	super_308	8990	22020	3	0
C56	PF00067	super_46	125071	139554	2	0
C57	PF00067	super_27	387126	389736	2	0
C58	PF00067	super_256	260410	309389	2	0
C59	PF00067	super_253	31231	98269	4	2
C60	PF00067	super_0	6987281	7004752	2	0
C61	PF00067	super_117	389662	401182	2	0
C62	PF00067	super_12	588355	604183	2	0
C63	PF00067	super_130	375069	404522	3	1
C64	PF00067	super_16	2399574	2411321	2	1
C65	PF00067	super_167	184109	362388	6	8
C66	PF00067	super_187	222981	231450	2	0
C67	PF00067	super_132	243835	360625	6	1
C68	PF00067	super_21	2558888	2648573	5	2
C69	PF00067	super_212	13402	26099	2	0
C70	PF00067	super_214	261748	336874	2	2
C71	PF00067	super_218	50815	71488	2	0
C72	PF00067	super_23	991594	1000637	2	0
C73	PF00067	super_25	1683404	1738490	2	6
C74	PF00067	super_196	126540	266739	5	7
C75	PF00069	super_376	4044	89255	3	4
C76	PF00069	super_450	4495	17587	2	0
C77	PF00069	super_44	416453	525414	2	12
C78	PF00069	super_414	9381	73714	2	2
C79	PF00069	super_403	11860	62103	2	3
C80	PF00069	super_40	2279607	2369044	3	3
C81	PF00069	super_39	1628750	1824585	6	5
C82	PF00069	super_37	621786	683559	3	1
C83	PF00069	super_28	1738225	1815159	2	2
C84	PF00069	super_311	5447	80828	2	6
C85	PF00069	super_31	969297	1018076	2	2
C86	PF00069	super_30	336145	422302	2	5
C87	PF00069	super_3	4429733	4499511	2	5
C88	PF00069	super_29	1771079	1787152	2	0
C89	PF00069	super_287	49212	108617	2	8
C90	PF00069	super_451	9197	30237	2	0
C91	PF00069	super_27	1775892	1809449	2	4
C92	PF00069	super_356	18212	114853	2	3
C93	PF00069	super_464	42523	50127	2	0
C94	PF00069	super_64	1513536	1568865	2	2
C95	PF00069	super_49	767557	1010681	6	8
C96	PF00069	super_98	649036	740163	2	7
C97	PF00069	super_91	370787	410813	2	2
C98	PF00069	super_90	1009461	1077056	2	3
C99	PF00069	super_87	218211	281693	2	2
C100	PF00069	super_84	1349818	1407332	2	5
C101	PF00069	super_8	2355865	2417819	3	1
C102	PF00069	super_77	777523	854155	2	3
C103	PF00069	super_77	26735	106335	2	6
C104	PF00069	super_71	631919	699510	2	1
C105	PF00069	super_7	3130046	3208684	2	3
C106	PF00069	super_65	199670	231024	2	2
C107	PF00069	super_258	5200	9100	2	0
C108	PF00069	super_61	790411	870356	3	5
C109	PF00069	super_59	912344	1020089	3	1
C110	PF00069	super_57	1286318	1344755	2	3
C111	PF00069	super_54	66621	86561	2	1
C112	PF00069	super_534	2	27245	2	1
C113	PF00069	super_472	10633	40900	2	1
C114	PF00069	super_245	168686	284497	5	3
C115	PF00069	super_117	177299	191618	2	0
C116	PF00069	super_24	38338	92902	2	0
C117	PF00069	super_123	868048	957122	2	7
C118	PF00069	super_12	2430633	2453557	2	0
C119	PF00069	super_109	86560	115184	2	0
C120	PF00069	super_105	1062069	1094786	3	1
C121	PF00069	super_103	553254	599279	3	1
C122	PF00069	super_100	947079	1054427	2	5
C123	PF00069	super_10	1766688	1837481	2	7
C124	PF00069	super_130	672157	722475	2	0
C125	PF00069	super_10	1374297	1480016	2	9
C126	PF00069	super_0	11460426	11489099	2	2
C127	PF00069	super_0	9657577	9710004	2	5
C128	PF00069	super_0	8165328	8216969	2	2
C129	PF00069	super_0	6008385	6174994	4	3
C130	PF00069	super_0	2524583	2578162	2	3
C131	PF00069	super_0	663740	689042	2	2
C132	PF00069	super_0	281121	359468	2	4
C133	PF00069	super_24	429218	491957	2	4
C134	PF00069	super_131	129058	157385	2	1
C135	PF00069	super_1	2761063	2865470	2	0
C136	PF00069	super_141	214369	232210	2	1
C137	PF00069	super_14	3642313	3737422	2	10
C138	PF00069	super_238	189659	318833	4	9
C139	PF00069	super_232	189405	214421	2	0
C140	PF00069	super_225	246370	285248	2	1
C141	PF00069	super_22	2282851	2328766	2	4
C142	PF00069	super_210	209605	446780	8	0
C143	PF00069	super_21	965444	1054356	2	5
C144	PF00069	super_207	196146	238219	2	1
C145	PF00069	super_19	535184	558084	2	1
C146	PF00069	super_209	244384	359309	3	9
C147	PF00069	super_17	1041451	1052137	2	0
C148	PF00069	super_16	3043226	3074631	2	0
C149	PF00069	super_150	612912	696326	2	3
C150	PF00069	super_15	2154987	2238819	2	5
C151	PF00069	super_148	652333	732067	4	5
C152	PF00069	super_146	340670	548611	7	13
C153	PF00069	super_144	2215	27564	2	2
C154	PF00069	super_181	374849	433781	4	3
C155	PF00071	super_20	2612520	2693058	2	5
C156	PF00076	super_4	1568936	1616166	2	1
C157	PF00076	super_99	601299	658231	2	4
C158	PF00076	super_67	1459827	1465400	2	0
C159	PF00076	super_65	1302335	1317384	2	0
C160	PF00076	super_44	2001187	2014423	2	0
C161	PF00076	super_33	1590773	1673926	2	7
C162	PF00076	super_126	612914	682415	2	3
C163	PF00076	super_26	1579792	1586475	2	1
C164	PF00076	super_2	3049221	3114859	3	1
C165	PF00076	super_145	24978	120293	2	7
C166	PF00076	super_1	4201251	4225006	2	1
C167	PF00076	super_28	1336153	1345364	2	2
C168	PF00078	super_278	16505	46936	2	0
C169	PF00078	super_9	1328056	1338860	2	0
C170	PF00078	super_8	3010768	3101673	2	2
C171	PF00078	super_8	1942322	1957574	2	0
C172	PF00078	super_57	1619584	1685388	2	5
C173	PF00078	super_50	1525249	1579908	2	1
C174	PF00078	super_5	82169	94437	2	0
C175	PF00078	super_337	17453	61815	3	2
C176	PF00078	super_319	1149	63078	2	1
C177	PF00078	super_304	77750	190689	3	3
C178	PF00078	super_27	711170	772476	2	3
C179	PF00078	super_186	393193	495239	3	0
C180	PF00078	super_19	2810796	2822574	2	0
C181	PF00078	super_188	224231	279927	2	3
C182	PF00078	super_227	267397	341916	2	6
C183	PF00078	super_160	357055	369309	2	0
C184	PF00078	super_155	9242	36257	2	0
C185	PF00078	super_15	843855	884885	2	4
C186	PF00078	super_143	222173	317734	2	5
C187	PF00078	super_140	201535	235725	2	3
C188	PF00078	super_131	761458	812157	2	2
C189	PF00078	super_10	2495182	2507305	3	0
C190	PF00078	super_1	6710180	6719692	2	0
C191	PF00081	super_12	3775365	3813768	2	1
C192	PF00082	super_4	5421264	5435821	2	0
C193	PF00085	super_126	298395	374769	2	6
C194	PF00091	super_35	1459105	1487079	3	0
C195	PF00091	super_0	1641091	1664174	3	0
C196	PF00091	super_161	152943	165878	2	0
C197	PF00097	super_307	173283	180197	2	0
C198	PF00098	super_205	208651	214157	2	0
C199	PF00098	super_61	1801678	1809815	2	0
C200	PF00098	super_391	531	12922	2	0
C201	PF00098	super_386	87227	94679	2	0
C202	PF00098	super_34	2472832	2508611	3	1
C203	PF00098	super_3	3661461	3748750	2	4
C204	PF00098	super_3	2622637	2639584	2	1
C205	PF00098	super_282	39418	86386	3	3
C206	PF00098	super_25	10765	31068	2	2
C207	PF00098	super_241	101778	177994	4	3
C208	PF00098	super_19	2810796	2822574	2	0
C209	PF00098	super_118	878116	898960	2	1
C210	PF00098	super_185	1143	35899	5	1
C211	PF00098	super_175	7247	23887	2	1
C212	PF00098	super_158	346315	412773	3	3
C213	PF00098	super_147	453530	490469	3	1
C214	PF00098	super_132	403074	469842	2	2
C215	PF00098	super_13	439913	536277	2	2
C216	PF00098	super_119	663522	708164	2	2
C217	PF00098	super_73	1045489	1055416	2	0
C218	PF00098	super_107	113692	138752	2	2
C219	PF00098	super_1	6710180	6719692	2	0
C220	PF00098	super_188	203741	209441	2	0
C221	PF00106	super_591	2	15588	2	1
C222	PF00106	super_2	4696018	4705294	2	0
C223	PF00107	super_0	7023023	7058337	2	0
C224	PF00107	super_11	151257	168829	3	0
C225	PF00107	super_112	426770	479465	2	0
C226	PF00107	super_133	8096	105882	2	3
C227	PF00107	super_140	354068	376109	2	0
C228	PF00107	super_25	2817187	2824060	2	0
C229	PF00107	super_70	733645	786348	7	1
C230	PF00112	super_47	345444	433039	2	9
C231	PF00118	super_156	355560	431009	2	9
C232	PF00119	super_9	4517531	4539556	2	3
C233	PF00120	super_16	410972	429027	2	0
C234	PF00120	super_239	265269	283068	2	0
C235	PF00122	super_74	973999	1021040	2	0
C236	PF00125	super_297	81659	85353	2	0
C237	PF00134	super_156	629591	641178	2	2
C238	PF00139	super_126	887529	956722	3	5
C239	PF00139	super_181	374849	460251	4	5
C240	PF00139	super_210	193503	493758	9	1
C241	PF00139	super_311	5447	80828	2	6
C242	PF00141	super_75	760087	779754	2	2
C243	PF00141	super_7	1054291	1058442	2	0
C244	PF00141	super_68	968211	991802	2	0
C245	PF00141	super_4	633397	660571	2	0
C246	PF00141	super_3	4457878	4461502	2	0
C247	PF00141	super_277	31328	57729	2	1
C248	PF00141	super_2	2710827	2803728	3	2
C249	PF00141	super_2	690838	720417	3	1
C250	PF00141	super_0	2894229	2910611	2	0
C251	PF00141	super_157	550617	573475	2	0
C252	PF00141	super_154	654917	691116	6	0
C253	PF00141	super_140	206123	285474	3	5
C254	PF00141	super_132	678691	775108	5	3
C255	PF00141	super_116	813530	865460	2	2
C256	PF00141	super_11	2119662	2171026	2	0
C257	PF00141	super_11	1435180	1478411	2	1
C258	PF00141	super_19	1876086	1932250	2	0
C259	PF00149	super_46	82439	101146	2	0
C260	PF00153	super_46	376090	396559	2	1
C261	PF00153	super_7	3550381	3557877	2	0
C262	PF00153	super_43	1795595	1822007	2	1
C263	PF00153	super_96	1010355	1033933	2	2
C264	PF00153	super_215	298121	384607	2	6
C265	PF00153	super_190	438498	453554	2	2
C266	PF00153	super_228	300779	350051	2	3
C267	PF00160	super_0	3546048	3570812	2	0
C268	PF00163	super_102	630127	702828	2	9
C269	PF00164	super_16	2860375	2866037	2	0
C270	PF00168	super_102	822603	876183	2	5
C271	PF00170	super_59	662022	688597	2	3
C272	PF00171	super_232	68421	96515	2	0
C273	PF00179	super_9	3719258	3726896	2	0
C274	PF00179	super_6	684330	706954	2	0
C275	PF00179	super_553	20791	22269	2	0
C276	PF00179	super_0	7550805	7632261	2	6
C277	PF00179	super_10	326854	419144	2	6
C278	PF00179	super_14	2986831	3016505	2	5
C279	PF00182	super_74	1409884	1455306	2	1
C280	PF00187	super_20	2859465	2947037	4	3
C281	PF00187	super_74	1409884	1455306	2	1
C282	PF00190	super_500	1326	21057	2	0
C283	PF00190	super_196	451536	458851	2	0
C284	PF00190	super_19	1314697	1364695	5	2
C285	PF00190	super_112	782247	790365	2	0
