chr	start	end	name	strand	cluster_id	category
super_0	2553632	2554175	Sphfalx0000s0192	0.0	C110	PF00240
super_0	4732079	4735720	Sphfalx0000s0313	0.0	C236	PF01535
super_0	4732079	4735720	Sphfalx0000s0313	0.0	C416	PF13041
super_0	8165328	8169965	Sphfalx0000s0540	0.0	C128	PF00400
super_0	8169784	8171244	Sphfalx0000s0541	0.0	C128	PF00400
super_10	1220541	1221503	Sphfalx0010s0069	0.0	C156	PF00550
super_10	1226979	1227141	Sphfalx0010s0072	0.0	C156	PF00550
super_10	2503384	2507305	Sphfalx0010s0165	0.0	C183	PF00665
super_101	1129316	1130065	Sphfalx0101s0076	0.0	C360	PF07714
super_107	94210	96184	Sphfalx0107s0009	0.0	C457	PF13976
super_107	94210	96184	Sphfalx0107s0009	0.0	C491	PF14227
super_107	135546	135809	Sphfalx0107s0013	0.0	C182	PF00665
super_107	135546	135809	Sphfalx0107s0013	0.0	C461	PF13976
super_107	135546	135809	Sphfalx0107s0013	0.0	C490	PF14227
super_13	552020	552505	Sphfalx0013s0047	0.0	C464	PF13976
super_130	376672	377227	Sphfalx0130s0032	0.0	C32	PF00067
super_132	500699	503812	Sphfalx0132s0028	0.0	C294	PF03407
super_140	455464	456083	Sphfalx0140s0031	0.0	C313	PF04885
super_140	469281	470473	Sphfalx0140s0034	0.0	C313	PF04885
super_146	540013	541246	Sphfalx0146s0036	0.0	C43	PF00069
super_15	286473	286562	Sphfalx0015s0015	0.0	C237	PF01535
super_15	286473	286562	Sphfalx0015s0015	0.0	C414	PF13041
super_15	650481	652146	Sphfalx0015s0048	0.0	C264	PF02496
super_15	651967	654264	Sphfalx0015s0049	0.0	C264	PF02496
super_152	33199	33774	Sphfalx0152s0003	0.0	C205	PF00931
super_152	189416	193348	Sphfalx0152s0018	0.0	C355	PF07714
super_156	633451	635150	Sphfalx0156s0053	0.0	C89	PF00134
super_156	633451	635150	Sphfalx0156s0053	0.0	C275	PF02984
super_156	635979	638266	Sphfalx0156s0054	0.0	C89	PF00134
super_156	635979	638266	Sphfalx0156s0054	0.0	C275	PF02984
super_16	2405560	2407232	Sphfalx0016s0191	0.0	C30	PF00067
super_16	2408517	2411321	Sphfalx0016s0192	0.0	C299	PF03807
super_16	3234822	3235354	Sphfalx0016s0252	0.0	C281	PF03055
super_163	94371	96564	Sphfalx0163s0008	0.0	C13	PF00043
super_163	94371	96564	Sphfalx0163s0008	0.0	C269	PF02798
super_164	491718	494106	Sphfalx0164s0032	0.0	C401	PF12695
super_169	506564	506573	Sphfalx0169s0037	0.0	C107	PF00227
super_173	361034	361958	Sphfalx0173s0034	0.0	C499	PF14476
super_173	443085	444015	Sphfalx0173s0045	0.0	C500	PF14476
super_176	571957	571958	Sphfalx0176s0040	0.0	C372	PF07883
super_188	203741	206151	Sphfalx0188s0010	0.0	C176	PF00665
super_188	203741	206151	Sphfalx0188s0010	0.0	C463	PF13976
super_19	447029	447256	Sphfalx0019s0025	0.0	C104	PF00201
super_19	1348873	1350598	Sphfalx0019s0077	0.0	C102	PF00190
super_190	439657	440383	Sphfalx0190s0025	0.0	C96	PF00153
super_190	445652	448369	Sphfalx0190s0026	0.0	C96	PF00153
super_194	272824	277931	Sphfalx0194s0023	0.0	C202	PF00931
super_196	126540	127077	Sphfalx0196s0007	0.0	C27	PF00067
super_2	269287	272867	Sphfalx0002s0020	0.0	C438	PF13839
super_2	269287	272867	Sphfalx0002s0020	0.0	C495	PF14416
super_2	694238	697619	Sphfalx0002s0053	0.0	C94	PF00141
super_206	13502	14548	Sphfalx0206s0004	0.0	C111	PF00248
super_216	313143	313677	Sphfalx0216s0029	0.0	C120	PF00305
super_218	245261	245850	Sphfalx0218s0017	0.0	C133	PF00403
super_23	1718176	1719097	Sphfalx0023s0116	0.0	C350	PF07714
super_231	74681	75126	Sphfalx0231s0009	0.0	C150	PF00505
super_231	74681	75126	Sphfalx0231s0009	0.0	C224	PF01388
super_24	1390245	1395989	Sphfalx0024s0084	0.0	C413	PF13041
super_24	1390245	1395989	Sphfalx0024s0084	0.0	C496	PF14432
super_26	1583922	1584251	Sphfalx0026s0106	0.0	C50	PF00076
super_266	116461	117792	Sphfalx0266s0010	0.0	C345	PF07714
super_28	1340887	1343283	Sphfalx0028s0096	0.0	C51	PF00076
super_28	1340887	1343283	Sphfalx0028s0096	0.0	C162	PF00641
super_28	1345308	1345364	Sphfalx0028s0098	0.0	C51	PF00076
super_28	1345308	1345364	Sphfalx0028s0098	0.0	C162	PF00641
super_28	2295088	2295827	Sphfalx0028s0167	0.0	C342	PF07690
super_282	80808	81296	Sphfalx0282s0007	0.0	C74	PF00098
super_282	80808	81296	Sphfalx0282s0007	0.0	C175	PF00665
super_282	80808	81296	Sphfalx0282s0007	0.0	C454	PF13976
super_282	84230	86386	Sphfalx0282s0008	0.0	C480	PF14227
super_3	2403865	2408742	Sphfalx0003s0190	0.0	C144	PF00464
super_30	1237258	1237675	Sphfalx0030s0079	0.0	C249	PF01704
super_351	21214	21591	Sphfalx0351s0004	0.0	C203	PF00931
super_38	412771	416589	Sphfalx0038s0023	0.0	C223	PF01370
super_39	2167254	2167291	Sphfalx0039s0139	0.0	C306	PF04057
super_40	1198055	1202553	Sphfalx0040s0103	0.0	C389	PF08513
super_5	2884083	2886100	Sphfalx0005s0201	0.0	C18	PF00067
super_567	7463	7936	Sphfalx0567s0002	0.0	C170	PF00665
super_567	7463	7936	Sphfalx0567s0002	0.0	C447	PF13976
super_59	108665	109401	Sphfalx0059s0008	0.0	C242	PF01535
super_59	109718	111601	Sphfalx0059s0009	0.0	C242	PF01535
super_63	1550073	1553607	Sphfalx0063s0088	0.0	C349	PF07714
super_63	1553851	1557508	Sphfalx0063s0089	0.0	C349	PF07714
super_64	1642025	1642940	Sphfalx0064s0123	0.0	C219	PF01329
super_7	3080573	3080863	Sphfalx0007s0182	0.0	C164	PF00657
super_8	2059934	2060959	Sphfalx0008s0113	0.0	C364	PF07883
super_90	1276008	1277421	Sphfalx0090s0108	0.0	C122	PF00350
super_90	1276008	1277421	Sphfalx0090s0108	0.0	C211	PF01031
super_90	1276008	1277421	Sphfalx0090s0108	0.0	C257	PF02212
super_97	408615	408759	Sphfalx0097s0034	0.0	C427	PF13417
