chr	start	end	name	strand	cluster_id	category
super_0	157015	163808	Sphfalx0000s0016	0.0	C1452	PF07714
super_0	215468	216549	Sphfalx0000s0020	0.0	C973	PF01535
super_0	223161	228419	Sphfalx0000s0023	0.0	C1350	PF07200
super_0	264887	268946	Sphfalx0000s0029	0.0	C1350	PF07200
super_0	281121	284901	Sphfalx0000s0030	0.0	C205	PF00069
super_0	354667	359468	Sphfalx0000s0035	0.0	C1452	PF07714
super_0	354667	359468	Sphfalx0000s0035	0.0	C205	PF00069
super_0	374588	383166	Sphfalx0000s0037	0.0	C1452	PF07714
super_0	480922	485578	Sphfalx0000s0047	0.0	C1229	PF03999
super_0	495666	500487	Sphfalx0000s0049	0.0	C1229	PF03999
super_0	527114	528367	Sphfalx0000s0052	0.0	C1169	PF03184
super_0	562349	563826	Sphfalx0000s0055	0.0	C973	PF01535
super_0	570071	571504	Sphfalx0000s0056	0.0	C1169	PF03184
super_0	663740	671273	Sphfalx0000s0067	0.0	C205	PF00069
super_0	686241	689042	Sphfalx0000s0070	0.0	C205	PF00069
super_0	1281056	1285632	Sphfalx0000s0101	0.0	C1041	PF01926
super_0	1578760	1586505	Sphfalx0000s0113	0.0	C257	PF00076
super_0	1641091	1643566	Sphfalx0000s0119	0.0	C1226	PF03953
super_0	1641091	1643566	Sphfalx0000s0119	0.0	C316	PF00091
super_0	1648396	1650540	Sphfalx0000s0120	0.0	C1226	PF03953
super_0	1648396	1650540	Sphfalx0000s0120	0.0	C316	PF00091
super_0	1662162	1664174	Sphfalx0000s0121	0.0	C1226	PF03953
super_0	1662162	1664174	Sphfalx0000s0121	0.0	C316	PF00091
super_0	1734707	1741663	Sphfalx0000s0128	0.0	C1041	PF01926
super_0	1817492	1821345	Sphfalx0000s0132	0.0	C257	PF00076
super_0	2156270	2160587	Sphfalx0000s0158	0.0	C481	PF00248
super_0	2291900	2295248	Sphfalx0000s0168	0.0	C1814	PF13855
super_0	2483207	2487643	Sphfalx0000s0184	0.0	C481	PF00248
super_0	2524583	2530403	Sphfalx0000s0190	0.0	C204	PF00069
super_0	2524583	2530403	Sphfalx0000s0190	0.0	C1814	PF13855
super_0	2553233	2553508	Sphfalx0000s0191	0.0	C477	PF00240
super_0	2562005	2562280	Sphfalx0000s0193	0.0	C477	PF00240
super_0	2575221	2578162	Sphfalx0000s0194	0.0	C204	PF00069
super_0	2763552	2764982	Sphfalx0000s0198	0.0	C1970	PF14244
super_0	2778389	2779458	Sphfalx0000s0199	0.0	C1970	PF14244
super_0	2894229	2896445	Sphfalx0000s0208	0.0	C393	PF00141
super_0	2908523	2910611	Sphfalx0000s0209	0.0	C393	PF00141
super_0	3546048	3547315	Sphfalx0000s0251	0.0	C411	PF00160
super_0	3570358	3570812	Sphfalx0000s0252	0.0	C411	PF00160
super_0	3893010	3893885	Sphfalx0000s0269	0.0	C1170	PF03184
super_0	4014937	4020710	Sphfalx0000s0275	0.0	C203	PF00069
super_0	4210607	4212171	Sphfalx0000s0284	0.0	C1170	PF03184
super_0	4432873	4438645	Sphfalx0000s0292	0.0	C203	PF00069
super_0	4609570	4610349	Sphfalx0000s0305	0.0	C1071	PF02466
super_0	4621532	4625338	Sphfalx0000s0306	0.0	C974	PF01535
super_0	4621532	4625338	Sphfalx0000s0306	0.0	C1677	PF13041
super_0	4712752	4713348	Sphfalx0000s0310	0.0	C1071	PF02466
super_0	4724093	4733033	Sphfalx0000s0312	0.0	C974	PF01535
super_0	4724093	4733033	Sphfalx0000s0312	0.0	C1677	PF13041
super_0	4740454	4742146	Sphfalx0000s0314	0.0	C974	PF01535
super_0	4740454	4742146	Sphfalx0000s0314	0.0	C1677	PF13041
super_0	5057992	5061671	Sphfalx0000s0338	0.0	C1451	PF07714
super_0	5140590	5143253	Sphfalx0000s0345	0.0	C1451	PF07714
super_0	6008385	6019600	Sphfalx0000s0397	0.0	C1826	PF13855
super_0	6008385	6019600	Sphfalx0000s0397	0.0	C202	PF00069
super_0	6038899	6041779	Sphfalx0000s0399	0.0	C202	PF00069
super_0	6042086	6051911	Sphfalx0000s0400	0.0	C1826	PF13855
super_0	6063517	6073549	Sphfalx0000s0401	0.0	C1826	PF13855
super_0	6105157	6114243	Sphfalx0000s0402	0.0	C1826	PF13855
super_0	6105157	6114243	Sphfalx0000s0402	0.0	C202	PF00069
super_0	6161326	6174994	Sphfalx0000s0403	0.0	C1826	PF13855
super_0	6161326	6174994	Sphfalx0000s0403	0.0	C202	PF00069
super_0	6181324	6191327	Sphfalx0000s0404	0.0	C1826	PF13855
super_0	6441072	6443923	Sphfalx0000s0420	0.0	C1086	PF02519
super_0	6444476	6446864	Sphfalx0000s0421	0.0	C1086	PF02519
super_0	6987281	6991168	Sphfalx0000s0452	0.0	C91	PF00067
super_0	7002766	7004752	Sphfalx0000s0453	0.0	C91	PF00067
super_0	7023023	7024520	Sphfalx0000s0454	0.0	C1529	PF08240
super_0	7023023	7024520	Sphfalx0000s0454	0.0	C359	PF00107
super_0	7056587	7058337	Sphfalx0000s0455	0.0	C1529	PF08240
super_0	7056587	7058337	Sphfalx0000s0455	0.0	C359	PF00107
super_0	7280066	7283288	Sphfalx0000s0473	0.0	C1529	PF08240
super_0	7360429	7372557	Sphfalx0000s0480	0.0	C1012	PF01593
super_0	7410393	7422527	Sphfalx0000s0481	0.0	C1012	PF01593
super_0	7550805	7554913	Sphfalx0000s0493	0.0	C422	PF00179
super_0	7629896	7632261	Sphfalx0000s0500	0.0	C422	PF00179
super_0	7635976	7645189	Sphfalx0000s0502	0.0	C1859	PF13960
super_0	7635976	7645189	Sphfalx0000s0502	0.0	C1118	PF02992
super_0	7661342	7664884	Sphfalx0000s0505	0.0	C1859	PF13960
super_0	7661342	7664884	Sphfalx0000s0505	0.0	C1118	PF02992
super_0	7934470	7937938	Sphfalx0000s0527	0.0	C1184	PF03330
super_0	7934470	7937938	Sphfalx0000s0527	0.0	C895	PF01357
super_0	8019704	8021721	Sphfalx0000s0531	0.0	C1184	PF03330
super_0	8019704	8021721	Sphfalx0000s0531	0.0	C895	PF01357
super_0	8074506	8077144	Sphfalx0000s0533	0.0	C1184	PF03330
super_0	8074506	8077144	Sphfalx0000s0533	0.0	C895	PF01357
super_0	8157936	8162878	Sphfalx0000s0539	0.0	C584	PF00400
super_0	8165328	8169965	Sphfalx0000s0540	0.0	C201	PF00069
super_0	8172237	8177081	Sphfalx0000s0542	0.0	C584	PF00400
super_0	8209616	8216969	Sphfalx0000s0543	0.0	C201	PF00069
super_0	8217895	8221861	Sphfalx0000s0544	0.0	C984	PF01535
